,fire_name,veg_label
12127,13,Other
12130,RL 063,Polar Desert/Rock/Ice
12137,LIVINGSTON - 941,Open Shrubland
12139,WILLIARD ROAD FIRE,Secondary Tropical Evergreen Broadleaf Forest
12143,WORKMAN,Polar Desert/Rock/Ice
12155,1721,Polar Desert/Rock/Ice
12164,STATE FROG POND,Open Shrubland
12168,BRUSH,Polar Desert/Rock/Ice
12177,FROG,C3 Grassland/Steppe
12179,CON11918292,Polar Desert/Rock/Ice
12188,BLUE BERRY ROAD FIRE,Polar Desert/Rock/Ice
12196,STANGELAND,Polar Desert/Rock/Ice
12210,LADY SLIPPER(54),Open Shrubland
12211,FREEZE OUT PASS,Polar Desert/Rock/Ice
12212,PONY,Other
12216,PRESQUE ISLE 07,C3 Grassland/Steppe
12219,LIGHTNING,Polar Desert/Rock/Ice
12234,UNNAMED FIRE 1945,Other
12240,FY2002-FANNIN-015,Secondary Tropical Evergreen Broadleaf Forest
12241,INDIAN CR.,Temperate Evergreen Needleleaf Forest TmpENF
12245,HIGBY,Polar Desert/Rock/Ice
12247,HALF BEAR,Secondary Tropical Evergreen Broadleaf Forest
12248,WILDCAT 4,Polar Desert/Rock/Ice
12249,FY2015-TALBOT-011,Open Shrubland
12251,A N S,Open Shrubland
12252,FY2002-GWINNETT-018,Secondary Tropical Evergreen Broadleaf Forest
12254,CORN,Polar Desert/Rock/Ice
12257,HUNTER CN.,Other
12262,TWO DOGS,Polar Desert/Rock/Ice
12263,TWO STORY,Secondary Tropical Evergreen Broadleaf Forest
12267,MAURICIO,Secondary Tropical Evergreen Broadleaf Forest
12275,FY2014-TATTNALL-021,Open Shrubland
12276,BRIDGE,Other
12277,HACKER CREEK,Other
12282,ANTELOPE,Polar Desert/Rock/Ice
12283,FY2012-CHATTAHOOCHEE-006,Open Shrubland
12291,PROBLEM CHILD,Polar Desert/Rock/Ice
12298,GANOTOWN EAST RD.,Other
12310,LERCH,Polar Desert/Rock/Ice
12311,HILL FIELD,Polar Desert/Rock/Ice
12314,JACK,Secondary Tropical Evergreen Broadleaf Forest
12318,SWEEDEN RD,Other
12322,WEST RODDY RD,Polar Desert/Rock/Ice
12324,BASSETT 2,Polar Desert/Rock/Ice
12345,ASH CREEK,Polar Desert/Rock/Ice
12347,SPANISH,Polar Desert/Rock/Ice
12350,SOUTH FORK BONANZA,Other
12352,TWO,Other
12356,BLM,Other
12366,MONUMENT,Open Shrubland
12370,DELUTH 35,Open Shrubland
12372,WALKING,Polar Desert/Rock/Ice
12391,FY2014-SCREVEN-029,Open Shrubland
12393,EVANGELISM RD.,Other
12400,OVERLOOK,C3 Grassland/Steppe
12405,ROGERSONSW,C3 Grassland/Steppe
12408,OCHO,Secondary Tropical Evergreen Broadleaf Forest
12410,124 FIRE,Secondary Tropical Evergreen Broadleaf Forest
12419,ESCONDIDO,Secondary Tropical Evergreen Broadleaf Forest
12421,LITTLE,Open Shrubland
12423,SUMMIT,Polar Desert/Rock/Ice
12430,TH2414,Polar Desert/Rock/Ice
12431,SHINGLE CREEK,C3 Grassland/Steppe
12434,STRYDER WMA,Other
12436,613654,Other
12437,MAESTAS,Other
12440,SHOOTER,Polar Desert/Rock/Ice
12442,FY2016-CRAWFORD-011,Open Shrubland
12450,RANCHO CONEJO,Secondary Tropical Evergreen Broadleaf Forest
12453,BLISS RIDGE,Polar Desert/Rock/Ice
12455,ROOSTER HILLS,Polar Desert/Rock/Ice
12459,CAMP CREEK,Polar Desert/Rock/Ice
12460,RL130,Polar Desert/Rock/Ice
12468,CRAWFORD 09 HOWES LAKE FIRE                       ,Polar Desert/Rock/Ice
12472,FY2002-LUMPKIN-015,Secondary Tropical Evergreen Broadleaf Forest
12475,CHEVY,Secondary Tropical Evergreen Broadleaf Forest
12476,FLYNN,Polar Desert/Rock/Ice
12480,RAND CANYON,C3 Grassland/Steppe
12481,QUIET,Secondary Tropical Evergreen Broadleaf Forest
12482,ROADSIDE (49),Open Shrubland
12484,A1305023,C3 Grassland/Steppe
12490,MCFARLAND,Polar Desert/Rock/Ice
12495,54/BARGE CANAL FIRE,Open Shrubland
12496,FY2000-BRANTLEY-092,Open Shrubland
12497,CHERRY FIRE,Other
12507,FY2014-DADE-019,Secondary Tropical Evergreen Broadleaf Forest
12514,HAY CANYON,Other
12518,WALNUT,Secondary Tropical Evergreen Broadleaf Forest
12519,EAST DAGMAR,Polar Desert/Rock/Ice
12529,BOYD,Other
12531,SPRINKLER,Polar Desert/Rock/Ice
12534,GRAYLING CREEK,Other
12537,WOODROW,Desert
12550,BARLEY,Other
12551,31/TUCKER GRADE (08),Open Shrubland
12552,METROPOLIS,Polar Desert/Rock/Ice
12579,"SOUTH MT. PLEASANT RD, AL",Open Shrubland
12588,PUTNAM/AKRON FIRE,Open Shrubland
12610,KENMARE,Secondary Tropical Evergreen Broadleaf Forest
12612,FY2012-MITCHELL-037,Open Shrubland
12619,FOURTH,C3 Grassland/Steppe
12621,NORTH MARLEY FORD ROAD,Other
12622,LAKE17,Polar Desert/Rock/Ice
12625,LONG BRANCH,Open Shrubland
12626,ROBERT'S,C3 Grassland/Steppe
12629,LDS,Secondary Tropical Evergreen Broadleaf Forest
12636,1.61201E+13,Secondary Tropical Evergreen Broadleaf Forest
12638,4 MILE BENCH,Other
12639,CAMPGROUND,Open Shrubland
12650,FY2013-DECATUR-007,Open Shrubland
12655,CONTROL,Polar Desert/Rock/Ice
12659,MAC,Polar Desert/Rock/Ice
12662,ARRINGTON BRANCH,Polar Desert/Rock/Ice
12663,FROG,Secondary Tropical Evergreen Broadleaf Forest
12667,FY2011-CLAY-024,Open Shrubland
12669,23/DEPOT CREEK-0381,Open Shrubland
12670,TOM M. ROAD,Secondary Tropical Evergreen Broadleaf Forest
12675,FY2012-PEACH-022,Open Shrubland
12676,CRYSTAL 1,Other
12679,LOG CABIN,Polar Desert/Rock/Ice
12681,CHARLIE DRIVE FIRE,Secondary Tropical Evergreen Broadleaf Forest
12690,FY2015-DODGE-049,Open Shrubland
12694,FY2015-JOHNSON-023,Open Shrubland
12701,FY2002-WAYNE-089,Open Shrubland
12721,GREENHEAD GRADE ( 67),Open Shrubland
12722,FY2014-POLK-013,Secondary Tropical Evergreen Broadleaf Forest
12725,POTTER#1FP,Polar Desert/Rock/Ice
12736,1030,Open Shrubland
12746,DKLINE#15,Other
12752,SULLIVAN SPRINGS,C3 Grassland/Steppe
12757,SW 111TH  (63)-0032,Open Shrubland
12763,1.13201E+13,Open Shrubland
12764,SLEEPER LAKE,Polar Desert/Rock/Ice
12765,MP74 I84,C3 Grassland/Steppe
12769,FY2002-FLOYD-084,Secondary Tropical Evergreen Broadleaf Forest
12771,CORN HOLE FIRE,Other
12777,3-1 RAIL,Polar Desert/Rock/Ice
12780,FY2011-EMANUEL-084,Open Shrubland
12786,LINDEN - 249,Open Shrubland
12788,FY2012-TATTNALL-030,Open Shrubland
12815,FY2015-ATKINSON-009,Open Shrubland
12818,EC332,Secondary Tropical Evergreen Broadleaf Forest
12820,UNNAMED FIRE 1825,Other
12821,CLAY,Secondary Tropical Evergreen Broadleaf Forest
12822,PETERSON M,Polar Desert/Rock/Ice
12829,DEER,Open Shrubland
12837,BURRO,Secondary Tropical Evergreen Broadleaf Forest
12842,MARGE,Polar Desert/Rock/Ice
12851,"WAGSTAFF ROAD, AL",Open Shrubland
12853,GROSS FORK 2,Other
12858,FORBES,C3 Grassland/Steppe
12860,HOLLAND RD.,Other
12863,RILEY PRIDGEON,Open Shrubland
12864,CHICKEN CREEK,Secondary Tropical Evergreen Broadleaf Forest
12866,LEIDELL,Secondary Tropical Evergreen Broadleaf Forest
12868,ROCK,Other
12869,9006,Open Shrubland
12870,LIVINGSTON - 631,Open Shrubland
12875,REDS FIRE,Polar Desert/Rock/Ice
12878,TUB PEAK,Other
12880,MOUNTAIN,C3 Grassland/Steppe
12885,E6 FIRE,C3 Grassland/Steppe
12886,ZUMWALT,Polar Desert/Rock/Ice
12888,14-FUSSELL RD FIRE-0110,Open Shrubland
12889,RL,Polar Desert/Rock/Ice
12892,FY2012-WILKINSON-036,Open Shrubland
12893,SWAN,C3 Grassland/Steppe
12898,PORT KELLY,C3 Grassland/Steppe
12901,MOODY WASH,Other
12904,HONEY LOCTUS,Other
12908,CRANBERRY,Other
12917,FY2015-CAMDEN-010,Open Shrubland
12918,RRMP 418,C3 Grassland/Steppe
12919,PUCKETT RDG/MUDLICK FK,Other
12925,PINE 5,Other
12928,DOME FIRE,C3 Grassland/Steppe
12931,WILLIAMS CREEK,C3 Grassland/Steppe
12935,WULIK RIVER,Other
12945,PECOS,Secondary Tropical Evergreen Broadleaf Forest
12949,UNNAMED FIRE 0506,Polar Desert/Rock/Ice
12960,MILEMARKER 152 (31),Open Shrubland
12961,FY2001-EARLY-047,Open Shrubland
12962,MAD LADY,Secondary Tropical Evergreen Broadleaf Forest
12963,231,Polar Desert/Rock/Ice
12968,MARSHALL,Open Shrubland
12971,FY2011-COLQUITT-133,Open Shrubland
12982,HOT SPRINGS MEADOWS,C3 Grassland/Steppe
12995,2.52014E+12,Secondary Tropical Evergreen Broadleaf Forest
12997,YAQUI,Open Shrubland
13003,STAFFORD,Polar Desert/Rock/Ice
13007,MCQUEEN ROAD,Secondary Tropical Evergreen Broadleaf Forest
13008,FY2001-CRISP-014,Open Shrubland
13025,DIABALO,Secondary Tropical Evergreen Broadleaf Forest
13026,BEAR,Secondary Tropical Evergreen Broadleaf Forest
13027,POOWEGUP 2,Polar Desert/Rock/Ice
13028,ARSON,Secondary Tropical Evergreen Broadleaf Forest
13030,FY2012-RICHMOND-022,Secondary Tropical Evergreen Broadleaf Forest
13035,SHANNON & MCDUFFIE FIRE,Secondary Tropical Evergreen Broadleaf Forest
13045,SOUTH ELBERT,Other
13079,BIRCH RIDGE FIRE,Polar Desert/Rock/Ice
13083,SANDS,C3 Grassland/Steppe
13087,B JEAN,Polar Desert/Rock/Ice
13095,36/EMPTY LOT FIRE,Open Shrubland
13100,ENCAMPMENT,Polar Desert/Rock/Ice
13105,HAYSTACK,Polar Desert/Rock/Ice
13106,30115,Polar Desert/Rock/Ice
13109,SHAKK,Polar Desert/Rock/Ice
13112,FLATS ROAD,Polar Desert/Rock/Ice
13114,BARBER,Polar Desert/Rock/Ice
13116,CROOKED CR,Other
13125,633,C3 Grassland/Steppe
13128,FY2011-TREUTLEN-092,Open Shrubland
13132,MILES,C3 Grassland/Steppe
13136,GULCH,Polar Desert/Rock/Ice
13137,MERIDIAN,Other
13141,FY2011-HARRIS-015,Open Shrubland
13144,KINKO,Polar Desert/Rock/Ice
13151,TRAILER,Polar Desert/Rock/Ice
13153,HARDISON FIRE,Polar Desert/Rock/Ice
13156,HENDERSON - 192,Open Shrubland
13163,DEADHORSE,Temperate Evergreen Needleleaf Forest TmpENF
13180,TRAIL,Polar Desert/Rock/Ice
13182,1.61201E+13,Secondary Tropical Evergreen Broadleaf Forest
13187,FIRST,C3 Grassland/Steppe
13195,TECUMSEH,C3 Grassland/Steppe
13203,FY2013-BEN HILL-039,Open Shrubland
13204,FY2001-WALKER-013,Secondary Tropical Evergreen Broadleaf Forest
13205,ROAD 6,Open Shrubland
13212,BORDER,Open Shrubland
13218,BIG JOHNSON,Polar Desert/Rock/Ice
13220,JOHN MELVIN RD (46),Open Shrubland
13222,ROY LK,Polar Desert/Rock/Ice
13225,RALPH,Polar Desert/Rock/Ice
13232,CURUTES,Polar Desert/Rock/Ice
13260,WOODVILLE - 78,Open Shrubland
13263,CLARENCE,Polar Desert/Rock/Ice
13271,(19) ALLIGATORS FIRE,Open Shrubland
13272,HELL,Secondary Tropical Evergreen Broadleaf Forest
13283,TIMBERED ROCK,Temperate Evergreen Needleleaf Forest TmpENF
13285,SQUASH,Polar Desert/Rock/Ice
13287,RL156,Polar Desert/Rock/Ice
13293,TURKEY,Other
13298,596 - TCHULKADE LAKE,Other
13300,GRIZZLY MTN,Polar Desert/Rock/Ice
13301,INC 380,C3 Grassland/Steppe
13304,JAIL,Secondary Tropical Evergreen Broadleaf Forest
13306,MCLEOD,Other
13314,SLINKARD 2,Other
13318,FY2015-GREENE-004,Secondary Tropical Evergreen Broadleaf Forest
13320,S. YATES,C3 Grassland/Steppe
13322,CASTLE RK2,C3 Grassland/Steppe
13326,BEE HOUSE,Desert
13335,128137-07140-04012015-1055,Other
13336,MALT,Polar Desert/Rock/Ice
13341,MAJUBA,Polar Desert/Rock/Ice
13357,SYCAMORE,Open Shrubland
13364,DWRANCH,Polar Desert/Rock/Ice
13365,MITCHELL COMPLEX -COAHOMA FIRE,Open Shrubland
13367,WALNUT,Secondary Tropical Evergreen Broadleaf Forest
13369,SHARPSPOON,C3 Grassland/Steppe
13373,A1303023,C3 Grassland/Steppe
13383,NOBRAIN,Polar Desert/Rock/Ice
13393,CYPRESS SHOP(01),Open Shrubland
13396,RL046,Polar Desert/Rock/Ice
13399,PAUL WILLIS RD.,Other
13402,CARSON RIVER,Other
13406,W MNT N,Other
13409,WALKER'S TRAILER PARK,Polar Desert/Rock/Ice
13411,ROSITA,Polar Desert/Rock/Ice
13412,OLD DUMMY,Other
13426,LIN519860,Secondary Tropical Evergreen Broadleaf Forest
13427,HUNTER SAW IT,Polar Desert/Rock/Ice
13428,WAYMANS RIDGE ROAD,Other
13429,PURGITSVILLE,Other
13431,RUNWAY,Polar Desert/Rock/Ice
13439,DRY BLUE,Secondary Tropical Evergreen Broadleaf Forest
13442,FY2015-LUMPKIN-023,Secondary Tropical Evergreen Broadleaf Forest
13445,WALKER,Open Shrubland
13449,MUSTANG,Other
13457,GOODIN BRACNH FIRE,Other
13461,FY2014-PAULDING-004,Secondary Tropical Evergreen Broadleaf Forest
13471,SMALLWOOD RD.,Other
13479,FOSSIL,C3 Grassland/Steppe
13481,79TH FIRE,Open Shrubland
13491,MCKINLEY RIVER,Other
13493,BRIDGE,Open Shrubland
13498,REED,Secondary Tropical Evergreen Broadleaf Forest
13499,BORDER 10,Open Shrubland
13507,WHITE STORE AND CAMDEN CHURCH ROAD,Secondary Tropical Evergreen Broadleaf Forest
13509,ISABELLE,Secondary Tropical Evergreen Broadleaf Forest
13513,HERON BAY,Open Shrubland
13515,TIN CAN,Polar Desert/Rock/Ice
13517,FY2012-COLQUITT-013,Open Shrubland
13532,TRENAY,C3 Grassland/Steppe
13539,PUMPKIN,C3 Grassland/Steppe
13541,PETTEFFY RANCH (43),Open Shrubland
13553,HILLBILLY HILL,Polar Desert/Rock/Ice
13554,30608,Polar Desert/Rock/Ice
13559,FY2001-CHATTAHOOCHEE-001,Open Shrubland
13560,9.12015E+12,Open Shrubland
13569,KENNEDY,Other
13571,LIZZIE JETER LANE,Polar Desert/Rock/Ice
13575,OTA 133,C3 Grassland/Steppe
13581,HWY 56 6,Other
13583,TOLL,Polar Desert/Rock/Ice
13586,SILLYII,C3 Grassland/Steppe
13587,HIDDEN,Secondary Tropical Evergreen Broadleaf Forest
13588,PATTY'S,Secondary Tropical Evergreen Broadleaf Forest
13597,LIVINGSTON - 243,Open Shrubland
13598,DEWEYS,Polar Desert/Rock/Ice
13607,HOLLY GROVE,Secondary Tropical Evergreen Broadleaf Forest
13608,BIG JOE,Other
13624,RL52,Polar Desert/Rock/Ice
13629,FY2014-MARION-027,Open Shrubland
13631,MULTIPLE FENCE (11),Open Shrubland
13633,DEVIL,Polar Desert/Rock/Ice
13638,SUNFLOWER FLAT,Polar Desert/Rock/Ice
13643,SANTAN7,Secondary Tropical Evergreen Broadleaf Forest
13651,UNNAMED FIRE 3603,Other
13652,BANNER RANCH,Temperate Evergreen Needleleaf Forest TmpENF
13653,BISHOP,C3 Grassland/Steppe
13657,MS2001,Polar Desert/Rock/Ice
13658,COLLEGE,Other
13659,BARTON,C3 Grassland/Steppe
13660,LEE FARMS,Polar Desert/Rock/Ice
13661,HT,Polar Desert/Rock/Ice
13665,DIRTY CAT,Secondary Tropical Evergreen Broadleaf Forest
13681,OTA 175,C3 Grassland/Steppe
13682,FY2002-FLOYD-002,Secondary Tropical Evergreen Broadleaf Forest
13684,EVERYWHERE,Secondary Tropical Evergreen Broadleaf Forest
13686,123 FOWLER,Open Shrubland
13698,FY2014-PULASKI-045,Open Shrubland
13703,SEVEN SPRINGS,Polar Desert/Rock/Ice
13707,SUNSET,Secondary Tropical Evergreen Broadleaf Forest
13712,IRVINE,Other
13714,TONTO'S 943 FIRE,Open Shrubland
13715,INDIAN WAY,Polar Desert/Rock/Ice
13717,FUSSELL RD (25),Open Shrubland
13727,HENDERSON - 533,Open Shrubland
13728,KIOWA-690,Polar Desert/Rock/Ice
13732,TRESTLE RIDGE,Polar Desert/Rock/Ice
13739,FY2000-JONES-067,Secondary Tropical Evergreen Broadleaf Forest
13747,LINN,Desert
13755,ELK LAKE,C3 Grassland/Steppe
13756,SNAKE,Secondary Tropical Evergreen Broadleaf Forest
13758,TARKILN RIGDE,Polar Desert/Rock/Ice
13765,KALUKTAVIK RIVER,Other
13773,HOLSTEN,Polar Desert/Rock/Ice
13780,PIXDERCK1,Polar Desert/Rock/Ice
13784,6199,Secondary Tropical Evergreen Broadleaf Forest
13795,44,Other
13802,MR 2,Secondary Tropical Evergreen Broadleaf Forest
13804,WEST FOREST TRAIL,Polar Desert/Rock/Ice
13819,WOLFPEN BRANCH,Other
13823,SHOOTING RANGE,Polar Desert/Rock/Ice
13833,TILK HOLLOW,Other
13855,SW 152 ST,Open Shrubland
13856,FY2002-DOOLY-013,Open Shrubland
13858,JOH9784035,Polar Desert/Rock/Ice
13859,JOHN L RD. FIRE,Secondary Tropical Evergreen Broadleaf Forest
13866,EMRALD LN,Polar Desert/Rock/Ice
13869,HENDERSON - 136,Open Shrubland
13872,JOSE,Secondary Tropical Evergreen Broadleaf Forest
13887,SW 27TH STREET(42),Open Shrubland
13888,MINK,Polar Desert/Rock/Ice
13890,FORK,Other
13893,FY2012-DECATUR-011,Open Shrubland
13896,CAMPBELL #6,Polar Desert/Rock/Ice
13901,FY2012-SPALDING-027,Secondary Tropical Evergreen Broadleaf Forest
13911,25 MILE CREEK,Polar Desert/Rock/Ice
13918,1044 RD.,Polar Desert/Rock/Ice
13919,GOAT MOUNTAIN,Polar Desert/Rock/Ice
13928,MUD CREEK,Other
13929,07/STATE RD 69-0114,Open Shrubland
13932,LINDEN - 6153,Open Shrubland
13933,POTRERO,Secondary Tropical Evergreen Broadleaf Forest
13934,20062,Secondary Tropical Evergreen Broadleaf Forest
13940,SHULL RIDGE,Polar Desert/Rock/Ice
13956,TOWER,Secondary Tropical Evergreen Broadleaf Forest
13963,BETSY BEAVER,Polar Desert/Rock/Ice
13969,HENDERSON - 321,Open Shrubland
13982,FY2015-JEFFERSON-044,Secondary Tropical Evergreen Broadleaf Forest
13983,FY2011-UPSON-049,Open Shrubland
13988,HORSESHOE,C3 Grassland/Steppe
13995,LIT.PIN.3,Polar Desert/Rock/Ice
13996,WOODS,Other
14008,DOWNWIND,Polar Desert/Rock/Ice
14015,30302,Other
14029,JOE,Secondary Tropical Evergreen Broadleaf Forest
14031,RESERVATION,Polar Desert/Rock/Ice
14034,HORSE,Polar Desert/Rock/Ice
14051,BRUSHY CREEK,Other
14056,STEWARD,Secondary Tropical Evergreen Broadleaf Forest
14058,YELLOWSTON,Polar Desert/Rock/Ice
14059,HOLY CITY,Secondary Tropical Evergreen Broadleaf Forest
14060,OTTER,C3 Grassland/Steppe
14061,FITNESS,Open Shrubland
14064,HOLT,Polar Desert/Rock/Ice
14065,TECOLOTE,Polar Desert/Rock/Ice
14069,30432,Polar Desert/Rock/Ice
14073,CARBON,Polar Desert/Rock/Ice
14074,RUGBY CREEK,Polar Desert/Rock/Ice
14093,BEAVER CREEK,Polar Desert/Rock/Ice
14098,PALMERTNK2,Secondary Tropical Evergreen Broadleaf Forest
14106,SHAWBORO RAILROAD #1,Other
14107,FLAG MOUNTAIN #4,Secondary Tropical Evergreen Broadleaf Forest
14109,LIVINGSTON - 630,Open Shrubland
14111,WHITE OAK,Other
14114,HUMBOLDT,Polar Desert/Rock/Ice
14115,SEARIMHELP,Open Shrubland
14118,RUBY,C3 Grassland/Steppe
14120,AMYOTTE,C3 Grassland/Steppe
14121,130450-11043-11132015-1353,Other
14128,BURRO,Desert
14135,HEREFORD,Other
14137,EL RIDGE,Other
14143,WILLIAMS,Other
14144,FY2014-CHARLTON-036,Open Shrubland
14153,MAXIEFIELD,Other
14157,BLACK,Polar Desert/Rock/Ice
14161,HELMER,Polar Desert/Rock/Ice
14170,ROSS FORK,C3 Grassland/Steppe
14181,PATTEN,Polar Desert/Rock/Ice
14182,ALKALI CREEK,Polar Desert/Rock/Ice
14183,0385 BUCKHORN,C3 Grassland/Steppe
14193,TRAVELER'S HOME #2,C3 Grassland/Steppe
14200,OLD HOUSE,Polar Desert/Rock/Ice
14201,SUN DEVIL,Polar Desert/Rock/Ice
14222,BURNED BOTTLE,Other
14223,PER8081251,Secondary Tropical Evergreen Broadleaf Forest
14233,VOLCANOVILLE,Other
14237,DUCK DUMP,Other
14239,BRADY 2 FIRE,Other
14242,RL554,Polar Desert/Rock/Ice
14250,GOOSE CREEK,Other
14255,LIVINGSTON - 565,Open Shrubland
14270,PONCA DRIVE,Other
14276,FY2012-POLK-020,Secondary Tropical Evergreen Broadleaf Forest
14280,NSHIELDS,Polar Desert/Rock/Ice
14288,ALL DAY,C3 Grassland/Steppe
14293,FY2014-TROUP-016,Secondary Tropical Evergreen Broadleaf Forest
14294,42,C3 Grassland/Steppe
14296,SHEEP CREEK 3 WFU,Other
14301,ROAD 60,Other
14304,1.17202E+13,Secondary Tropical Evergreen Broadleaf Forest
14305,RIVER,Other
14317,FY2012-COFFEE-040,Open Shrubland
14322,HORSE CAMP,Polar Desert/Rock/Ice
14323,CHANDLER CREEK,Secondary Tropical Evergreen Broadleaf Forest
14324,MARKALLEY,C3 Grassland/Steppe
14328,VIADUCT,C3 Grassland/Steppe
14329,LOBO,Secondary Tropical Evergreen Broadleaf Forest
14335,132HIWAY,Temperate Evergreen Needleleaf Forest TmpENF
14344,UP,Other
14356,WASHINGTON,Open Shrubland
14359,FY2003-TWIGGS-006,Open Shrubland
14366,UNNAMED FIRE 3752,Other
14376,BLOWN OVER,Other
14379,PIONEER,Other
14381,FY2014-BLECKLEY-001,Open Shrubland
14385,3 TRAILER,Polar Desert/Rock/Ice
14398,FY2011-MITCHELL-101,Open Shrubland
14402,SPARKY'S ROAD,C3 Grassland/Steppe
14407,1304,Polar Desert/Rock/Ice
14408,CLOSED BRIDGE,Other
14416,ALSAKER,Polar Desert/Rock/Ice
14420,E. MCDONALD COW PASTURE,Secondary Tropical Evergreen Broadleaf Forest
14431,30251,Polar Desert/Rock/Ice
14437,466,Polar Desert/Rock/Ice
14439,LIVINGSTON - 262,Open Shrubland
14445,221,Polar Desert/Rock/Ice
14453,BARBWIRE,Secondary Tropical Evergreen Broadleaf Forest
14454,FY2014-PULASKI-021,Open Shrubland
14461,FY2011-TWIGGS-048,Open Shrubland
14466,MP11HWY134,Other
14467,BEAVER,Secondary Tropical Evergreen Broadleaf Forest
14473,NAU JALAG,Polar Desert/Rock/Ice
14487,BUFFALO CREEK,Other
14493,FY2015-JEFFERSON-012,Secondary Tropical Evergreen Broadleaf Forest
14505,VALADECES,Open Shrubland
14507,SUNSET,Secondary Tropical Evergreen Broadleaf Forest
14511,OWL,C3 Grassland/Steppe
14513,TAYLOR-2,Open Shrubland
14521,HOLY GROUN,Secondary Tropical Evergreen Broadleaf Forest
14524,HALU CREEK,Other
14534,BEAR LAKE WEST,C3 Grassland/Steppe
14535,CHEROKE,Other
14537,HALLOWEEN 2,Polar Desert/Rock/Ice
14542,CHURCH,Open Shrubland
14560,"CHARLES CIRCLE, AL",Secondary Tropical Evergreen Broadleaf Forest
14562,PIT2,Polar Desert/Rock/Ice
14568,FY2001-POLK-008,Secondary Tropical Evergreen Broadleaf Forest
14571,STATE35,Polar Desert/Rock/Ice
14575,3 MILE CREEK,C3 Grassland/Steppe
14583,LUCILLE,Open Shrubland
14591,DRY LAKE,Secondary Tropical Evergreen Broadleaf Forest
14595,POWER POLE,Polar Desert/Rock/Ice
14599,SMITH GL,Polar Desert/Rock/Ice
14618,RISINGER,Open Shrubland
14619,MP351,Polar Desert/Rock/Ice
14620,HELLS KITCHEN,Other
14622,SCHOOLHOUSE,Secondary Tropical Evergreen Broadleaf Forest
14629,III-A,Desert
14630,TURKEY RIDGE,Other
14631,COLUMBIA FALLS,Polar Desert/Rock/Ice
14636,ALL T-3849,C3 Grassland/Steppe
14637,HUMMING BIRD,Polar Desert/Rock/Ice
14640,S/R CHAPTER,Other
14646,20233,Secondary Tropical Evergreen Broadleaf Forest
14650,STAR FORK,Other
14657,BRADEEN,C3 Grassland/Steppe
14665,4026,Open Shrubland
14668,LITTLE WILD HORSE,Other
14672,FY2000-LIBERTY-064,Open Shrubland
14678,TRI-RANCH COMPLEX,Open Shrubland
14680,FW,Polar Desert/Rock/Ice
14683,FY2015-COFFEE-068,Open Shrubland
14688,STAR,Polar Desert/Rock/Ice
14693,CORN,Other
14694,WHISKEY ROCK,Secondary Tropical Evergreen Broadleaf Forest
14696,OWINZA,Temperate Evergreen Needleleaf Forest TmpENF
14697,17,Other
14699,FY2012-TROUP-009,Secondary Tropical Evergreen Broadleaf Forest
14701,NORTH CRAWFORD,Polar Desert/Rock/Ice
14707,30021,Polar Desert/Rock/Ice
14709,IDELBROOK DRIVE,Other
14712,10023,Secondary Tropical Evergreen Broadleaf Forest
14716,FY2012-WILCOX-045,Open Shrubland
14720,FY2015-LONG-021,Open Shrubland
14722,SANDY,Secondary Tropical Evergreen Broadleaf Forest
14724,TOUQERVILLE ASST. #1,Other
14728,WARD RESERVOIR,C3 Grassland/Steppe
14739,MESQUITE,Secondary Tropical Evergreen Broadleaf Forest
14741,FY2012-GLYNN-008,Open Shrubland
14761,SPRING,Polar Desert/Rock/Ice
14767,APPLE DRIVE,Other
14769,RINCON 1,Secondary Tropical Evergreen Broadleaf Forest
14780,RT. 18/MEATHOUSE FK.,Other
14783,PALMER CREEK,C3 Grassland/Steppe
14788,FY2000-CAMDEN-078,Open Shrubland
14791,HALL RD,Polar Desert/Rock/Ice
14792,GREENWAY,Polar Desert/Rock/Ice
14802,DEADWOOD,C3 Grassland/Steppe
14805,GENERAL,Polar Desert/Rock/Ice
14808,LOGY COW,C3 Grassland/Steppe
14815,TRACKS,Open Shrubland
14819,FISHTRAP #2,Other
14827,PIEDMONT,Polar Desert/Rock/Ice
14832,SHURTZCYN,Other
14833,PARSNIP,Polar Desert/Rock/Ice
14837,RAIN,Temperate Evergreen Needleleaf Forest TmpENF
14859,PATT,Secondary Tropical Evergreen Broadleaf Forest
14860,EAST 1053,Open Shrubland
14862,PIPELINE,Other
14863,20118,Secondary Tropical Evergreen Broadleaf Forest
14866,FY2002-PULASKI-033,Open Shrubland
14868,FY2013-DODGE-069,Open Shrubland
14871,30408,Other
14872,SVS NW 18,Other
14873,RED WASH,Other
14885,490,Polar Desert/Rock/Ice
14887,BUCK CREEK #3,Open Shrubland
14889,BANDY,Polar Desert/Rock/Ice
14892,LIVINGSTON - 175,Open Shrubland
14899,HWY 245 PUMPING STATION,Polar Desert/Rock/Ice
14910,FY2014-FORSYTH-001,Secondary Tropical Evergreen Broadleaf Forest
14911,FY2000-HARALSON-073,Secondary Tropical Evergreen Broadleaf Forest
14915,LORENZO,Open Shrubland
14920,REID,Polar Desert/Rock/Ice
14925,2.52015E+12,Secondary Tropical Evergreen Broadleaf Forest
14939,TARR FIRE,C3 Grassland/Steppe
14942,KIRKWOOD/CDF T12 2,Other
14943,FY2013-COLQUITT-037,Open Shrubland
14944,BURNING BARRELL,Other
