,fire_name,fire_size,stat_cause_descr,latitude,longitude,state,discovery_month,putout_time,year
3167,FIRST NOTCH,1.2,Lightning,37.26583333,-107.3838889,CO,Jul,3 days 00:00:00.000000000,2003
3168,GARRETT DRIVE FIRE,1.0,Arson,34.46073333,-79.22268333,NC,Apr,0,2010
3169,FY2012-CHARLTON-012,2.3,Lightning,30.869035200000003,-81.98118684,GA,Aug,0,2011
3170,UINTARIVR2,2.0,Arson,40.3128,-109.8517,UT,Apr,0,2006
3171,PINE GATE,12.0,Powerline,47.5511,-117.3791,WA,Sep,14 days 00:00:00.000000000,2014
3172,SLOP,1.3,Miscellaneous,37.76627,-119.80519,CA,Sep,0,1993
3173,HOMER DRIVE,1.0,Debris Burning,34.63525,-78.61038333,NC,Mar,0,2010
3174,FLAG,1.0,Arson,46.0942,-100.664,ND,Oct,0,2003
3175,STATION FIRE,14.0,Arson,34.67361111,-85.11194444,GA,Apr,1 days 00:00:00.000000000,2012
3176,FY2011-POLK-079,1.75,Debris Burning,34.09018407,-85.09119184,GA,Mar,0,2011
3177,WILLIAMS BAY  (23),17.0,Lightning,30.0667,-85.3778,FL,May,0,2015
3178,HAMS RIDGE,40.0,Lightning,42.18222222,-110.7672222,WY,Sep,41 days 00:00:00.000000000,2005
3179,LINDEN - 6085,1.0,Debris Burning,32.59885,-94.419,TX,May,0,2012
3180,FY2003-BRYAN NORTH-003,1.09,Debris Burning,32.20288014,-81.41698883,GA,Dec,0,2002
3181,COPPER (36),1.0,Arson,26.441,-81.7817,FL,Jul,0,2015
3182,LONG,3.0,Miscellaneous,33.6667,-111.6674,AZ,Sep,1 days 00:00:00.000000000,1992
3183,FY2011-WORTH-083,1.1,Debris Burning,31.50495148,-83.80132111,GA,Apr,0,2011
3184,FY2012-CANDLER-020,0.74,Debris Burning,32.54529251,-82.04580395,GA,Feb,0,2012
3185,COFFEE,2470.0,Miscellaneous,36.15833333,-118.74833329999998,CA,Sep,3 days 00:00:00.000000000,1997
3186,COUNCIL HOLLOW,2.7,Miscellaneous,36.7133,-94.7078,OK,Nov,2 days 00:00:00.000000000,2012
3187,RUBICON,0.71,Lightning,44.92475908,-116.3428611,ID,Sep,4 days 00:00:00.000000000,2015
3188,ELK,1.0,Missing/Undefined,41.753383,-124.184467,CA,Jul,0,2014
3189,FY2002-LEE-015,0.61,Debris Burning,31.7387,-84.277,GA,Nov,0,2001
3190,BAITCAMP,20.0,Miscellaneous,29.7,-93.8667,TX,Feb,0,1995
3191,SHEEP#4,507.0,Lightning,40.8507,-116.9109,NV,Jun,3 days 00:00:00.000000000,1996
3192,FY2000-WAYNE-104,21.95,Lightning,31.5494,-81.8357,GA,Jun,0,2000
3193,ACOMA #2,1.0,Debris Burning,34.898681,-107.593681,NM,Jan,0,2008
3194,151,6.0,Arson,37.112794,-107.60719,CO,Apr,1 days 00:00:00.000000000,2009
3195,PINTO,6.0,Equipment Use,37.54194444,-113.51805559999998,UT,Feb,0,2006
3196,MILL CREEK,3.0,Equipment Use,47.7908,-114.8137,MT,Sep,1 days 00:00:00.000000000,1992
3197,4 CORNERS #2,4.0,Debris Burning,47.1687,-116.8843,ID,Sep,0,2005
3198,BLAIR,1.0,Arson,64.3696,-147.6965,AK,May,1 days 00:00:00.000000000,2001
3199,LAVATO,3.1,Smoking,45.4164,-107.3923,MT,Aug,0,2009
3200,HOMEBOY,36.0,Lightning,34.9624,-108.0844,NM,Aug,2 days 00:00:00.000000000,1995
3201,COAL LICK,2.0,Powerline,39.53901988,-79.60235729,WV,Nov,0,2015
3202,11-000142,1.0,Equipment Use,43.91825,-108.075944,WY,Aug,0,2011
3203,SHORT,2.5,Equipment Use,45.3091,-101.9671,SD,Nov,0,2012
3204,NORTHMARSH,72.0,Lightning,42.91833333,-121.6702778,OR,Jul,0,2001
3205,TOLIVER,1.5,Lightning,40.8786,-109.1997,UT,Jun,1 days 00:00:00.000000000,2014
3206,NORLAND4N,228.5,Lightning,42.868,-113.7759,ID,Jun,0,1999
3207,KENNETH RAY,1.0,Debris Burning,40.14639,-79.66333,PA,Apr,0,2014
3208,STEVENS,1.0,Miscellaneous,45.5666,-108.434,MT,Aug,0,2000
3209,FY2002-WALKER-062,20.0,Arson,34.7558,-85.1976,GA,Feb,0,2002
3210,RL374,2.0,Miscellaneous,47.8733,-95.0086,MN,May,0,2005
3211,CLARK,14.4,Miscellaneous,41.56411,-87.3889,IN,Oct,0,1995
3212,LINCOLN 2,5.0,Fireworks,33.2563,-104.3713,NM,Jul,0,2014
3213,BOONE TRL,1.5,Debris Burning,34.88888333,-79.22183333,NC,Mar,0,2014
3214,EC20501,2.0,Arson,34.6742,-94.8581,OK,Nov,0,2005
3215,COMPLEX 4,215.0,Miscellaneous,48.825,-100.0365,ND,Apr,1 days 00:00:00.000000000,2000
3216,BIG BOTTOM,36.0,Lightning,40.45233,-107.65403,CO,Aug,8 days 00:00:00.000000000,2013
3217,1.15201E+13,1.0,Campfire,34.21828271,-89.21874753,MS,Mar,0,2014
3218,BERRY,3.0,Equipment Use,35.0833,-119.451,CA,Jun,0,2003
3219,SELAWIK RIVER,3.0,Lightning,66.7303,-159.5889,AK,Jul,3 days 00:00:00.000000000,2010
3220,WAGONTONGUE,5.0,Lightning,33.8675,-108.48555559999998,NM,Jun,1 days 00:00:00.000000000,2002
3221,TRIMBLE,11.0,Lightning,35.0086,-114.1322,AZ,Aug,0,2005
3222,MODOC POINT,295.0,Arson,42.44083333,-121.8675,OR,Aug,3 days 00:00:00.000000000,2004
3223,LONG CANYON,4.8,Lightning,41.7639,-117.8711,NV,Jul,1 days 00:00:00.000000000,2006
3224,12_4168,80.0,Miscellaneous,42.356706,-88.21923199999999,IL,Nov,0,2012
3225,ALAFIA RIVER STATE PARK (29),368.0,Arson,27.7785,-82.0991,FL,May,0,2011
3226,HWY 700 FIRE,1.0,Debris Burning,36.7893,-84.3821,KY,Nov,0,2010
3227,DELORES ROAD (57),2.0,Arson,30.7374,-86.8706,FL,May,0,2014
3228,FY2011-MILLER-047,4.32,Arson,31.18626597,-84.72223656,GA,May,0,2011
3229,MILL CREEK,1.4,Miscellaneous,37.5675,-80.03472222,VA,May,0,2013
3230,LITTLE EGYPT,24.0,Lightning,45.72611111,-102.1175,SD,Jul,1 days 00:00:00.000000000,2006
3231,HIGHLINE,261.7,Miscellaneous,32.69785,-115.27739,CA,Apr,14 days 00:00:00.000000000,2013
3232,DAY AFTER FIRE 1,1.0,Campfire,39.49277778,-82.28666667,OH,Apr,0,2006
3233,GOAT'S MILK,5.0,Lightning,47.4714,-106.3061,MT,Jul,1 days 00:00:00.000000000,2006
3234,UNNAMED FIRE 0547,15.0,Miscellaneous,35.07075,-119.445086,CA,May,0,2000
3235,SCUDBUSTER,1.0,Fireworks,48.4839,-108.7565,MT,Jul,0,2008
3236,6117,8.0,Powerline,32.9526,-94.8142,TX,Apr,0,2014
3237,MILL CREEK,7892.0,Lightning,37.17388889,-113.5383333,UT,Jul,2 days 00:00:00.000000000,2005
3238,BART,14534.0,Miscellaneous,33.87138889,-111.7252778,AZ,May,7 days 00:00:00.000000000,2005
3239,STARSHIP,2.0,Missing/Undefined,32.618,-116.25475,CA,Aug,0,2009
3240,UNNAMED FIRE 0524,2.0,Powerline,35.121572,-119.52615,CA,Jul,0,2001
3241,ALAMOS,15.0,Miscellaneous,34.7025,-118.8019444,CA,Sep,0,2005
3242,FY2011-BURKE-025,6.22,Miscellaneous,33.20479556,-82.09697548,GA,Jan,0,2011
3243,FY2015-DECATUR-024,1.0,Debris Burning,30.83207778,-84.49681944,GA,Feb,0,2015
3244,TIMBER-LANE,1.0,Arson,34.6161,-98.7039,OK,May,0,2011
3245,COCOPAH,25.0,Campfire,32.6334,-114.7675,AZ,Jan,0,1992
3246,SPRING,1.5,Lightning,36.7994,-113.6992,AZ,Aug,3 days 00:00:00.000000000,2006
3247,SHAKTOOLIK RIVER,11699.5,Lightning,64.1211,-160.2978,AK,Jun,42 days 00:00:00.000000000,2013
3248,PONY FARM FIRE,4.0,Missing/Undefined,35.5045,-76.79416667,NC,Jul,0,2011
3249,7.52014E+12,1.0,Miscellaneous,32.26481176,-88.44947995,MS,Dec,0,2014
3250,SLASHER,1.0,Arson,48.8411,-99.8528,ND,Apr,0,2010
3251,IRVINE FLATS,14.0,Equipment Use,47.743,-114.404,MT,Jun,1 days 00:00:00.000000000,2009
3252,PANCAKE,27.8,Lightning,39.3455,-115.7392,NV,Aug,2 days 00:00:00.000000000,2002
3253,RL123,1.0,Children,47.868,-95.0403,MN,Apr,0,2002
3254,MIWENI,6.0,Fireworks,34.8686,-98.2347,OK,Dec,0,2007
3255,KINI,35.0,Children,43.25,-100.8504,SD,Aug,0,2001
3256,PICABO,15.0,Lightning,43.2621,-114.1061,ID,Jul,0,2002
3257,LIZZY CYN2,21.0,Miscellaneous,46.1387,-120.5484,WA,Aug,0,2000
3258,ANDERSON BEND ROADSIDE FIRE,13.5,Arson,36.307833,-83.196,TN,Apr,0,2014
3259,NE 30256,10.0,Arson,36.2894,-94.8017,OK,Apr,0,2011
3260,CARDBOARD FIRE,1.0,Debris Burning,45.83189,-89.30376,WI,Apr,0,2009
3261,OTA 83,55.6,Lightning,43.24989,-116.14971,ID,Sep,0,2007
3262,ARROYO,1.0,Arson,36.6981,-107.475,NM,Sep,0,2000
3263,TREE HOUSE,9.1,Arson,35.5647,-96.033,OK,Mar,1 days 00:00:00.000000000,2008
3264,RED LAKE 186,1.0,Arson,47.8692,-95.0258,MN,May,0,2011
3265,DUST(05),10.0,Debris Burning,28.7532,-80.9549,FL,May,0,2010
3266,30266,10.0,Miscellaneous,35.98850002,-94.59583333,OK,Feb,0,2009
3267,FY2011-TATTNALL-052,0.55,Debris Burning,32.04649603,-81.88648041,GA,Feb,0,2011
3268,30434,2.0,Arson,35.96550001,-94.65183334,OK,Aug,0,2010
3269,FOUR MILE,281.0,Lightning,40.9611,-107.5834,CO,Oct,4 days 00:00:00.000000000,2011
3270,10DIAMOND,0.9,Lightning,33.6056,-109.6118,AZ,Jul,2 days 00:00:00.000000000,2001
3271,DECOY FIRE,7.0,Children,46.98583,-95.36967,MN,Sep,0,2012
3272,CANE GAP FIRE,311.0,Debris Burning,36.63225937,-84.04389954,KY,Apr,1 days 00:00:00.000000000,2013
3273,MATHEWS2,6.0,Arson,33.9417,-116.8175,CA,Aug,1 days 00:00:00.000000000,1995
3274,D LINE,35.0,Equipment Use,43.8332,-116.8843,ID,Jul,0,1994
3275,CLAYTON,4.0,Debris Burning,37.372711,-121.774582,CA,Oct,0,2010
3276,FY2011-PAULDING-038,7.0,Debris Burning,34.02885747,-84.92362145,GA,Mar,0,2011
3277,FERRIS,8796.0,Lightning,42.2594,-107.1967,WY,Jul,28 days 00:00:00.000000000,2012
3278,FY2014-WARREN-015,5.4,Debris Burning,33.32352222,-82.67691944,GA,Mar,0,2014
3279,FY2011-MCINTOSH-044,6.3,Debris Burning,31.54682873,-81.4709777,GA,Mar,0,2011
3280,HILL,2.0,Children,33.1284,-110.1106,AZ,Jun,0,1995
3281,JOHNSON,1680.0,Equipment Use,36.00227,-96.43583,OK,Jun,14 days 00:00:00.000000000,2012
3282,30447,40.0,Arson,35.539,-94.63746668,OK,Aug,0,2010
3283,SKIP JACK,20.0,Arson,33.8933,-97.4425,OK,Feb,1 days 00:00:00.000000000,2008
3284,LITTLE COTTONWOOD,11.3,Lightning,44.678,-101.4907,SD,Jun,1 days 00:00:00.000000000,2012
3285,"17375 THOMPTON RD, AL",1.0,Debris Burning,30.5817187,-87.7269323,AL,Jan,0,2011
3286,SIMMONS PIT (57),25.0,Miscellaneous,30.9258,-86.9709,FL,Jun,2 days 00:00:00.000000000,2013
3287,TRAVIS CREEK,4.1,Lightning,46.50305556,-112.1183333,MT,Jul,0,2012
3288,STINKY,20.0,Miscellaneous,35.6628,-96.3236,OK,Mar,1 days 00:00:00.000000000,2013
3289,OTA 60,116.9,Equipment Use,43.24945,-116.1492,ID,Aug,0,2013
3290,BONGO FIRE,4.0,Children,47.38,-95.4939,MN,Mar,0,2010
3291,MOUNTAIN RD,1.0,Miscellaneous,35.2003,-84.991833,TN,Mar,0,2011
3292,KWIK RIVER,13.0,Lightning,64.9511,-161.9628,AK,Jul,3 days 00:00:00.000000000,2010
3293,HORIZON,15.0,Miscellaneous,39.58527778,-119.89055559999998,NV,Jul,1 days 00:00:00.000000000,2004
3294,TIRE,2.0,Miscellaneous,26.175,-98.3714,TX,May,0,2000
3295,HONDA HILL,2.0,Children,48.0895,-105.6422,MT,May,1 days 00:00:00.000000000,2001
3296,FY2002-CHATTAHOOCHEE-016,18.14,Debris Burning,32.3045,-84.7639,GA,Mar,0,2002
3297,MORGAN RAN,220.7,Debris Burning,48.3877,-118.592,WA,Apr,0,1998
3298,RED,9.0,Lightning,33.46083333,-109.2652778,AZ,Jul,73 days 00:00:00.000000000,2009
3299,PONDEROSA,2.0,Lightning,45.4278,-104.2627,MT,Aug,1 days 00:00:00.000000000,1996
3300,KELLOG,3.0,Debris Burning,36.859572,-94.731456,OK,Mar,0,2015
3301,FY2014-LINCOLN-004,7.6,Debris Burning,33.85099167,-82.45545,GA,Dec,0,2013
3302,BOWKER,5.0,Campfire,35.501033,-88.65078299999999,TN,Jan,0,2014
3303,HARRISON ASSIST,2.0,Miscellaneous,40.4149,-118.2713,NV,Jul,0,2007
3304,CASEY POND,4.0,Debris Burning,46.18333333,-119.0,WA,Sep,0,1994
3305,SOUTH WESLEYAN BLVD.,1.5,Debris Burning,35.8788,-77.82698333,NC,May,0,2014
3306,WOODVILLE - 59,3.0,Debris Burning,30.007,-93.89216667,TX,Mar,0,2009
3307,53 POYNER ROAD SOUTH,5.0,Equipment Use,28.3011,-81.8593,FL,Nov,0,2010
3308,SCATTERED WILLOW,1.0,Lightning,35.78272,-109.23547,AZ,Jul,1 days 00:00:00.000000000,2008
3309,NUMBER 6,1.0,Debris Burning,43.223,-102.7888,SD,Mar,0,2000
3310,IRON PIN,7.0,Arson,35.7136,-94.54,OK,Dec,0,2012
3311,PARKER RIDGE,34.0,Arson,35.74388889,-93.26805556,AR,Dec,1 days 00:00:00.000000000,2005
3312,LIGHTNING,12.0,Lightning,48.2856,-108.4935,MT,Jul,0,2010
3313,TWIN POND,1.0,Miscellaneous,35.619633,-105.42925,NM,Mar,0,2013
3314,QUAIL,300.0,Lightning,33.9822,-116.223503,CA,Aug,4 days 00:00:00.000000000,2012
3315,S HWY 29   KELSEYVILLE,0.65,Missing/Undefined,38.942833,-122.770833,CA,Jul,0,2013
3316,TORREON,50.0,Miscellaneous,35.9045,-107.1434,NM,Feb,0,2000
3317,POWER LINE,0.75,Equipment Use,36.85916667,-84.48888889,KY,Mar,0,2008
3318,WHISKEY,1.0,Debris Burning,34.2784,-110.559,AZ,Dec,0,1995
3319,ALLAN,50.0,Miscellaneous,40.775833,-88.485833,IL,Mar,0,2010
3320,LITTLE GRIDER,2171.0,Lightning,41.79972222,-123.4277778,CA,Jul,148 days 00:00:00.000000000,2007
3321,HENDERSON - 028,5.0,Debris Burning,31.92036111,-95.17158333,TX,Jan,0,2009
3322,FY2011-FLOYD-105,3.57,Arson,34.35732079,-85.01011526,GA,Jun,0,2011
3323,WARM SPRINGS RIDGE,11.0,Debris Burning,39.45656581,-78.22730274,WV,Jun,0,1999
3324,IBAPAH,1630.0,Equipment Use,40.0067,-113.9472,UT,Jul,2 days 00:00:00.000000000,2012
3325,OLD SCHOOL,4.5,Campfire,46.32963,-87.35258,MI,Apr,0,2012
3326,JACK TAR 3,1.0,Arson,37.46277778,-91.99583333,MO,Mar,0,2003
3327,NUMBER 2 ROAD (35),54.5,Miscellaneous,28.7106,-81.8169,FL,Nov,0,2013
3328,TURKEY POINT WEST (13),700.0,Arson,25.3736,-80.3914,FL,Dec,1 days 00:00:00.000000000,2012
3329,FY2011-LAURENS-133,0.59,Campfire,32.4156839,-82.74412284,GA,Jan,0,2011
3330,FY2001-JASPER-027,5.06,Debris Burning,33.2298,-83.6468,GA,Apr,0,2001
3331,GOBBLER'S KNOB,5.0,Lightning,46.61333333,-115.54833329999998,ID,Aug,1 days 00:00:00.000000000,1998
3332,CARTER SPRINGS,3461.0,Missing/Undefined,39.7653,-119.6278,NV,Sep,14 days 00:00:00.000000000,2012
3333,FY2000-GORDON-045,0.55,Debris Burning,34.5329,-84.7592,GA,Feb,0,2000
3334,SLATE,1.5,Lightning,38.85444444,-120.6663889,CA,Sep,2 days 00:00:00.000000000,2011
3335,TRAILEE,21.0,Powerline,37.56097296,-81.39449341,WV,Apr,0,2011
3336,CHINATOWN2,2.5,Miscellaneous,33.3317,-110.4573,AZ,Jun,0,1995
3337,FY2014-CRAWFORD-010,11.98,Debris Burning,32.81861111,-84.06705556,GA,Oct,0,2013
3338,8048,2.0,Debris Burning,30.56393333,-95.24791667,TX,Jul,0,2013
3339,JACOB,1.0,Lightning,37.3297222,-106.287778,CO,Jul,19 days 00:00:00.000000000,2010
3340,HENDERSON - 108,8.0,Debris Burning,32.24955,-95.5821,TX,Mar,0,2009
3341,MOON,1.0,Lightning,35.95,-106.7669444,NM,Jul,5 days 00:00:00.000000000,2001
3342,GATE,1.0,Miscellaneous,31.569000000000003,-111.8123,AZ,Oct,0,2007
3343,HOLMES,28.0,Arson,30.45222222,-89.75333333,LA,Oct,1 days 00:00:00.000000000,2005
3344,CLEAR,2.0,Arson,40.51025,-122.457181,CA,Jun,0,2001
3345,SMOKE CREEK,918.0,Lightning,40.6164,-120.1206,CA,Jun,5 days 00:00:00.000000000,2006
3346,KNUTESON CREEK FIRE,22.7,Miscellaneous,45.725190000000005,-91.43885,WI,Oct,1 days 00:00:00.000000000,2012
3347,SACATE,1.0,Miscellaneous,33.1173,-111.901,AZ,Apr,0,1994
3348,BARREDA GARDEN,5.0,Debris Burning,26.03444444,-97.58333333,TX,Jan,0,2004
3349,BOWL,1.0,Lightning,46.41444444,-115.4536111,ID,Aug,0,2013
3350,UPPER BOX DEATH,12.0,Lightning,37.94166667,-111.6013889,UT,Aug,5 days 00:00:00.000000000,2002
3351,BUCKMAN(54),50.0,Lightning,29.5565,-81.7328,FL,Jun,19 days 00:00:00.000000000,2011
3352,N. SUMMIT 1,1.0,Lightning,35.685,-109.20142,AZ,Jul,0,2008
3353,FY2015-UPSON-015,1.47,Children,32.95741667,-84.27258333,GA,May,0,2015
3354,SHARP CEMETARY,29.0,Miscellaneous,35.65361111,-95.999,OK,Nov,1 days 00:00:00.000000000,2005
3355,HOLY ELK,213.0,Smoking,45.7697,-100.749,SD,Apr,1 days 00:00:00.000000000,2005
3356,LIVINGSTON - 377,23.0,Arson,30.88318333,-94.00186667,TX,Oct,1 days 00:00:00.000000000,2010
3357,BOBCAT,28.5,Miscellaneous,46.88,-119.24,WA,Jun,0,2005
3358,05-10-THUNDER ROAD FIRE-2011-07-0183,61.0,Equipment Use,30.028,-81.8466,FL,Mar,0,2011
3359,14022,1.0,Debris Burning,38.8061408,-89.47964470000001,IL,Jan,0,2014
3360,FY2013-COLQUITT-030,2.25,Arson,31.04676667,-83.72838611,GA,Jan,0,2013
3361,DELONEGHA,593.0,Arson,35.55833333,-118.60666670000002,CA,Aug,1 days 00:00:00.000000000,1996
3362,GUN RANGE,1.0,Miscellaneous,47.7269,-102.6708,ND,May,0,2013
3363,WORTHAM,1.0,Arson,30.56166667,-89.11416667,MS,Mar,3 days 00:00:00.000000000,2008
3364,BUCK,2513.0,Lightning,42.39665,-115.30882,ID,Aug,2 days 00:00:00.000000000,1999
3365,TUCKER,1.4,Miscellaneous,36.608,-96.7183,OK,Aug,4 days 00:00:00.000000000,2011
3366,DOG TOWN COMPLEX,15.2,Missing/Undefined,32.2122,-104.0033,NM,Jan,1 days 00:00:00.000000000,2008
3367,SWEET WELL,1.5,Lightning,39.3411,-116.1636,NV,Jul,1 days 00:00:00.000000000,2008
3368,THOMAS,8.0,Debris Burning,35.8044,-98.65,OK,Apr,0,2008
3369,ZODIAC 3,3.0,Missing/Undefined,35.9756,-92.7192,AR,Mar,2 days 00:00:00.000000000,2012
3370,LIVINGSTON - 90,25.0,Arson,30.26583333,-93.99722222,TX,Apr,0,2010
3371,DIXIE,4.0,Debris Burning,38.26494345,-81.19668370000001,WV,Feb,0,2013
3372,SOLADAD LANE,5.0,Missing/Undefined,35.28293333,-77.18228333,NC,Dec,0,2011
3373,JONES PRARIE,0.6,Miscellaneous,45.17666667,-119.21833329999998,OR,Jul,0,1997
3374,CREW CREEK,35.0,Lightning,46.17666667,-114.87666670000002,ID,Aug,63 days 00:00:00.000000000,2014
3375,WALDO,3.0,Debris Burning,44.43333402,-69.13333024,ME,May,0,1993
3376,SPUR CAP,1.0,Children,39.51203638,-77.91335833,WV,Feb,0,2002
3377,FY2014-TATTNALL-016,27.62,Debris Burning,32.07944444,-82.18305556,GA,Feb,0,2014
3378,FY2013-BERRIEN-008,2.9,Debris Burning,31.38305556,-83.23305556,GA,Dec,0,2012
3379,FY2000-WILKINSON-042,0.87,Debris Burning,32.8869,-83.2533,GA,Mar,0,2000
3380,FY2011-BURKE-030,3.2,Debris Burning,33.07532776,-82.27980067,GA,Feb,0,2011
3381,PIERCE IC,1.0,Debris Burning,33.5397,-116.1128,CA,Nov,0,2010
3382,MEADOW VALLEY,13.0,Miscellaneous,36.8472,-114.6628,NV,Mar,2 days 00:00:00.000000000,2009
3383,LOOP FENCE,1.0,Miscellaneous,35.18133333,-80.1495,NC,Mar,0,2013
3384,FY2002-LONG-013,2.89,Miscellaneous,31.7037,-81.7946,GA,Oct,0,2001
3385,FY2011-MONROE-011,1.4,Debris Burning,32.9201169,-83.93931018,GA,Feb,0,2011
3386,MEED LAKE,1.0,Lightning,48.10666667,-92.355,MN,Jun,1 days 00:00:00.000000000,1995
3387,BASELINE,7.0,Arson,43.54777778,-85.80388889,MI,Jul,0,2001
3388,PETEGAINES,2.0,Debris Burning,33.2501,-105.7172,NM,Apr,0,2002
3389,IRON HOUSE,175.0,Smoking,32.6501,-103.4172,NM,Oct,0,1992
3390,COCKS COMB,145.5,Lightning,37.9069,-110.6119,UT,Jun,7 days 00:00:00.000000000,2006
3391,VULCAN,5.0,Structure,38.3169,-106.9548,CO,Aug,1 days 00:00:00.000000000,1996
3392,MONTURA RESERVOIR (26),3.0,Lightning,26.6228,-81.0637,FL,Jun,0,2015
3393,ASPEN,0.8,Lightning,34.10416667,-109.4952778,AZ,May,0,2005
3394,KINGSBURY,3.0,Lightning,47.2922,-120.1767,WA,Jun,0,2005
3395,T KING,10.0,Debris Burning,48.45,-108.684,MT,May,0,1992
3396,FY2014-LAURENS-049,0.68,Debris Burning,32.56984722,-82.84570278,GA,Dec,0,2013
3397,ONE SPOT (62) - 0204,5.0,Lightning,30.0408,-83.6808,FL,May,0,2011
3398,OLDKENTON,1.5,Smoking,33.1676,-110.4348,AZ,May,0,2001
3399,561EMAKER3,1.0,Arson,41.0332,-123.6678,CA,Jul,0,1997
3400,MARSH FORK,3484.0,Arson,37.83023533,-81.50568398,WV,Nov,5 days 00:00:00.000000000,1999
3401,TRAIL CREEK,35238.0,Lightning,43.7225,-115.1230556,ID,Aug,59 days 00:00:00.000000000,2000
3402,STILLWATER,4552.0,Lightning,39.5988,-118.3793,NV,Jul,5 days 00:00:00.000000000,1999
3403,26TH STREET,85.0,Campfire,41.225,-111.89166670000002,UT,Aug,0,1996
3404,20151,20.0,Arson,34.61605002,-95.67448336,OK,Mar,0,2011
3405,HILL,3.0,Arson,33.3601,-110.474,AZ,May,0,1995
3406,ZIERS,3.0,Debris Burning,45.6,-107.4673,MT,Apr,0,1995
3407,PRETTY BUTTE,162.5,Lightning,46.35833333,-103.5930556,ND,Aug,0,2003
3408,FY2011-BACON-070,0.58,Debris Burning,31.64678888,-82.52814674,GA,Feb,0,2011
3409,WINDMILL,52.0,Equipment Use,32.491417,-108.252817,NM,May,0,2011
3410,NOTCH,5.0,Lightning,44.86666667,-112.1166667,MT,Jul,4 days 00:00:00.000000000,2000
3411,RBC - CORRAL LAKE,1.0,Lightning,48.5069,-119.4399,WA,Aug,11 days 00:00:00.000000000,2013
3412,DUNHAM CREEK,1.0,Campfire,47.19833333,-113.25,MT,Aug,1 days 00:00:00.000000000,1996
3413,LINDEN - 6014,4.0,Powerline,33.09888889,-94.20861111,TX,Jan,0,2012
3414,201031,10.0,Debris Burning,38.38,-98.44,KS,Mar,0,2015
3415,CTR 2,1.5,Arson,63.8639,-145.9014,AK,Apr,0,2008
3416,1.23201E+13,3.0,Miscellaneous,32.2315367,-89.34448706,MS,Nov,0,2014
3417,COURT2,1.0,Miscellaneous,33.3451,-110.4573,AZ,Jul,0,1995
3418,165,1.0,Arson,47.9861,-99.1031,ND,Sep,0,2009
3419,CYPRESS TREE FIRE,2.0,Lightning,33.8075,-94.22417,AR,Aug,1 days 00:00:00.000000000,2011
3420,MARION MANN ROAD  (12),2.5,Debris Burning,29.9926,-82.626,FL,Mar,0,2013
3421,138,5.0,Debris Burning,37.07,-94.64,KS,Jul,0,2015
3422,7013,30.0,Debris Burning,31.3607,-94.80523333,TX,Feb,0,2015
3423,020 EARLY MORNING,5.0,Miscellaneous,31.5408333,-92.5172222,LA,Mar,0,2010
3424,MCKITTRICK,12.0,Lightning,31.96708,-104.83308,TX,Jun,1 days 00:00:00.000000000,2010
3425,RED MESA NHA,1.0,Miscellaneous,35.749970000000005,-109.05647,AZ,Apr,2 days 00:00:00.000000000,2011
3426,FY2015-TALIAFERRO-004,0.8,Debris Burning,33.62971944,-82.95646944,GA,Nov,0,2014
3427,123,65.0,Campfire,35.84333333,-93.05027778,AR,Sep,0,2005
3428,LYNNFIELD,1.0,Children,42.544276,-71.06473100000001,MA,May,0,2015
3429,DENVER,2.0,Debris Burning,43.61388889,-85.92027778,MI,Apr,0,2015
3430,HORSETAIL,1.2,Miscellaneous,45.58916667,-122.0716667,OR,Jul,0,1998
3431,CARIBOU,3.0,Debris Burning,46.84999812,-67.94999537,ME,May,0,1992
3432,FY2012-SUMTER-015,34.6,Debris Burning,32.080397999999995,-84.05252967,GA,Sep,0,2011
3433,CAMPBELL,865.0,Campfire,40.065,-121.7383333,CA,Jan,8 days 00:00:00.000000000,2014
3434,BOG LAKE,0.7,Lightning,47.75333333,-91.43,MN,Aug,2 days 00:00:00.000000000,1997
3435,OCKLAWAHA CREEK (20),17.5,Lightning,30.4699,-84.7248,FL,May,0,2011
3436,CATCLAW,30.0,Lightning,37.1833,-114.0175,UT,Aug,0,1993
3437,JOY(54),0.8,Lightning,29.3791,-81.608,FL,May,0,2014
3438,BOMBING RANGE 1,3.0,Miscellaneous,29.12333333,-81.71333333,FL,Sep,0,2003
3439,CHURCH (54),2.0,Arson,29.6216,-81.9019,FL,Apr,0,2014
3440,BIG BANG,2.0,Arson,47.86600000000001,-117.858,WA,Jul,0,2007
3441,BEAVER CREEK,3.0,Lightning,37.60333333,-106.65833329999998,CO,Jun,0,1996
3442,BURTON,53.5,Equipment Use,39.52722222,-82.21638889,OH,Apr,0,2013
3443,10 MILE,120.0,Miscellaneous,34.3085,-109.5622,AZ,Nov,0,2014
3444,SLOAN,2.0,Equipment Use,32.764374100000005,-116.84891,CA,Aug,0,2002
3445,TURKEY PEN,1.0,Lightning,31.9075,-109.3811111,AZ,Jun,1 days 00:00:00.000000000,2006
3446,RILEY STREET,3.0,Campfire,41.18611,-75.93694,PA,Sep,0,2012
3447,RED LAKE 546,1.5,Miscellaneous,47.8703,-94.9842,MN,Oct,0,2012
3448,MIL632910,1.0,Lightning,33.23111,-94.02998,AR,Feb,0,2014
3449,RON,25.0,Debris Burning,33.3267,-112.1957,AZ,Jul,0,1993
